App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Subjectivity,Category_Display
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16.0,10000000,Free,0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,0.5447434959291718,AUTO_AND_VEHICLES
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,0.48888888888888893,AUTO_AND_VEHICLES
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000,Free,0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,0.5282896532896533,AUTO_AND_VEHICLES
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000,Free,0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,0.4216201699535033,सौंदर्य
Hairstyles step by step,BEAUTY,4.6,4369,14.0,100000,Free,0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,0.5911601019008427,सौंदर्य
Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000,Free,0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,0.5278946208112875,सौंदर्य
Filters for B Live,BEAUTY,4.4,2280,24.0,500000,Free,0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,0.39555555555555555,सौंदर्य
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000,Free,0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up,0.5574667031563583,सौंदर्य
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up,0.26666666666666666,BOOKS_AND_REFERENCE
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000,Free,0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up,0.41257682132682133,BOOKS_AND_REFERENCE
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,1000000,Free,0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up,0.43582595799262464,BOOKS_AND_REFERENCE
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37.0,5000000,Free,0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up,0.5815682157348824,BOOKS_AND_REFERENCE
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000,Free,0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up,0.421768278018278,BOOKS_AND_REFERENCE
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10.0,1000000,Free,0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up,0.40219265018607125,BOOKS_AND_REFERENCE
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000,Free,0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up,0.4903003003003003,BOOKS_AND_REFERENCE
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up,0.5550324675324675,BOOKS_AND_REFERENCE
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42.0,500000,Free,0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up,0.5973257418909593,BOOKS_AND_REFERENCE
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9,500000,Free,0,Everyone,Business,"July 8, 2018",3.3,4.1 and up,0.4980359041543252,வணிகம்
Google Primer,BUSINESS,4.4,62272,18.0,10000000,Free,0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,0.675,வணிகம்
Call Blocker,BUSINESS,4.6,188841,3.2,5000000,Free,0,Everyone,Business,"June 21, 2018",1.1.13,4.0 and up,0.6554310966810967,வணிகம்
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14.0,10000000,Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,0.4279001891501892,வணிகம்
Google Ads,BUSINESS,4.3,29313,20.0,5000000,Free,0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up,0.4323986484194818,வணிகம்
FreshBooks Classic,BUSINESS,4.1,1802,26.0,100000,Free,0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up,0.47211790185352337,வணிகம்
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20.0,500000,Free,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,0.3694698121443251,வணிகம்
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48.0,500000,Free,0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up,0.5998381895881896,வணிகம்
Asana: organize team projects,BUSINESS,4.3,20815,10.0,1000000,Free,0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up,0.5227672402646754,வணிகம்
AdWords Express,BUSINESS,4.1,7149,11.0,1000000,Free,0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up,0.2716686868686869,வணிகம்
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5,100000,Free,0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up,0.5223977196512407,வணிகம்
Cisco Webex Meetings,BUSINESS,4.4,108741,28.0,10000000,Free,0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up,0.4623848528015195,வணிகம்
Cisco Webex Teams,BUSINESS,4.2,1661,46.0,100000,Free,0,Everyone,Business,"August 2, 2018",3.0.4651,4.4 and up,0.4597798821548822,வணிகம்
Google Ads,BUSINESS,4.3,29313,20.0,5000000,Free,0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up,0.4323986484194818,வணிகம்
FreshBooks Classic,BUSINESS,4.1,1802,26.0,100000,Free,0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up,0.47211790185352337,வணிகம்
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20.0,500000,Free,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,0.3694698121443251,வணிகம்
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48.0,500000,Free,0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up,0.5998381895881896,வணிகம்
Asana: organize team projects,BUSINESS,4.3,20815,10.0,1000000,Free,0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up,0.5227672402646754,வணிகம்
AdWords Express,BUSINESS,4.1,7149,11.0,1000000,Free,0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up,0.2716686868686869,வணிகம்
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5,100000,Free,0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up,0.5223977196512407,வணிகம்
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14.0,10000000,Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,0.4279001891501892,வணிகம்
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8,10000,Free,0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up,0.38994949494949493,COMICS
Browser 4G,COMMUNICATION,4.3,192948,6.6,10000000,Free,0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1,0.4429032976827094,COMMUNICATION
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1,10000000,Free,0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up,0.4195424700960415,COMMUNICATION
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4.0,1000000,Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.5538280971777065,COMMUNICATION
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14.0,5000000,Free,0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,0.5458333333333334,COMMUNICATION
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24.0,100000000,Free,0,Everyone,Communication,"August 1, 2018",7.73,4.0 and up,0.4398316960816961,COMMUNICATION
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4.0,1000000,Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.5538280971777065,COMMUNICATION
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32.0,1000000,Free,0,Everyone,Communication,"August 3, 2018",5.65.0,4.0 and up,0.3770225018037518,COMMUNICATION
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,6.1,50000000,Free,0,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up,0.6875,COMMUNICATION
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501,4.7,10000000,Free,0,Everyone,Communication,"April 1, 2016",6.4.0.4,4.0 and up,0.5062402473518545,COMMUNICATION
Contacts+,COMMUNICATION,4.2,190613,11.0,10000000,Free,0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up,0.4530827603196025,COMMUNICATION
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7,10000000,Free,0,Everyone,Communication,"March 5, 2017",196,2.1 and up,0.49568862814039333,COMMUNICATION
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14.0,5000000,Free,0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,0.5458333333333334,COMMUNICATION
Full Screen Caller ID,COMMUNICATION,4.2,104990,10.0,5000000,Free,0,Everyone,Communication,"May 15, 2018",3.5.0,4.0.3 and up,0.47666177908113394,COMMUNICATION
Call Blocker,COMMUNICATION,4.1,17529,10.0,1000000,Free,0,Everyone,Communication,"July 26, 2018",5.86,4.0.3 and up,0.6554310966810967,COMMUNICATION
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20.0,10000000,Free,0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,0.5064814814814815,COMMUNICATION
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11.0,5000000,Free,0,Everyone,Communication,"July 5, 2018",2.17.3,4.1 and up,0.2916666666666667,COMMUNICATION
All Email Providers,COMMUNICATION,4.1,20901,7.3,1000000,Free,0,Everyone,Communication,"April 3, 2018",5.0.9,4.1 and up,0.6066666666666667,COMMUNICATION
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56.0,100000,Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.5553312065566968,Dating
Hinge: Dating & Relationships,DATING,4.2,7779,12.0,500000,Free,0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,0.4962808119148699,Dating
BBW Dating & Plus Size Chat,DATING,4.4,12632,29.0,1000000,Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.49101675539175543,Dating
CMB Free Dating App,DATING,4.0,48845,40.0,1000000,Free,0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,0.5421654119038425,Dating
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1,5000000,Free,0,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up,0.5836531986531986,Dating
Black People Meet Singles Date,DATING,3.9,10212,5.0,1000000,Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,0.5053452310676337,Dating
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27.0,10000,Free,0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up,0.47738162878787876,Dating
Free Dating Hook Up Messenger,DATING,3.3,1157,21.0,100000,Free,0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up,0.5223361741189635,Dating
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24.0,100000,Free,0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up,0.5519399908953481,Dating
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643,31.0,500000,Free,0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,0.5885129315129315,Dating
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0,100000,Free,0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up,0.5180704969575584,Dating
"FastMeet: Chat, Dating, Love",DATING,4.2,22544,5.9,1000000,Free,0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up,0.5173434343434344,Dating
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9,1000000,Free,0,Mature 17+,Dating,"July 10, 2018",1.230,4.0.3 and up,0.44732448577787565,Dating
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046,13.0,500000,Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,0.5087301587301588,Dating
Christian Dating For Free App,DATING,3.9,8722,13.0,500000,Free,0,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up,0.4786601830996281,Dating
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2,1000000,Free,0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up,0.46029688922770684,Dating
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41.0,100000,Free,0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up,0.6372210351377018,Dating
BBWCupid - BBW Dating App,DATING,3.5,241,2.8,50000,Free,0,Mature 17+,Dating,"June 1, 2018",2.2.0.1748,5.0 and up,0.47169284419284424,Dating
ChatVideo Meet new people,DATING,4.2,63986,20.0,5000000,Free,0,Mature 17+,Dating,"May 31, 2018",3.0.15,4.0 and up,0.3930076342576343,Dating
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430,13.0,500000,Free,0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up,0.5106957328385899,Dating
CMB Free Dating App,DATING,4.0,48845,40.0,1000000,Free,0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,0.5421654119038425,Dating
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56.0,100000,Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.5553312065566968,Dating
Hinge: Dating & Relationships,DATING,4.2,7779,12.0,500000,Free,0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,0.4962808119148699,Dating
BBW Dating & Plus Size Chat,DATING,4.4,12632,29.0,1000000,Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.49101675539175543,Dating
"Herpes Dating: 1,000K+ Singles",DATING,4.0,738,27.0,10000,Free,0,Mature 17+,Dating,"August 1, 2018",6.4.1,4.1 and up,0.4679461145253556,Dating
95Live -SG#1 Live Streaming App,DATING,4.1,4953,15.0,1000000,Free,0,Teen,Dating,"August 1, 2018",8.7.2,4.2 and up,0.4559274799274799,Dating
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1645,31.0,500000,Free,0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,0.5885129315129315,Dating
2RedBeans,DATING,4.0,337,32.0,10000,Free,0,Mature 17+,Dating,"July 31, 2018",2.8.0,4.3 and up,0.5978684477915248,Dating
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13049,13.0,500000,Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,0.5087301587301588,Dating
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923,44.0,100000,Free,0,Mature 17+,Dating,"August 2, 2018",3.4.1.1,4.1 and up,0.5781575964057872,Dating
Herpes Positive Singles Dating,DATING,4.4,198,28.0,10000,Free,0,Mature 17+,Dating,"May 18, 2018",5.5.7,4.1 and up,0.5264661281179138,Dating
"FastMeet: Chat, Dating, Love",DATING,4.2,22545,5.9,1000000,Free,0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up,0.5173434343434344,Dating
Christian Dating For Free App,DATING,3.9,8723,13.0,500000,Free,0,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up,0.4786601830996281,Dating
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41.0,100000,Free,0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up,0.6372210351377018,Dating
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27.0,10000,Free,0,Mature 17+,Dating,"July 23, 2018",5.2.9,4.1 and up,0.45742092352092356,Dating
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35205,7.2,1000000,Free,0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up,0.46029688922770684,Dating
Hitwe - meet people and chat,DATING,4.2,243950,21.0,10000000,Free,0,Mature 17+,Dating,"May 10, 2018",4.3.2,4.1 and up,0.694104938271605,Dating
95Live -SG#1 Live Streaming App,DATING,4.1,4954,15.0,1000000,Free,0,Teen,Dating,"August 1, 2018",8.7.2,4.2 and up,0.4559274799274799,Dating
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2560,56.0,100000,Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.5553312065566968,Dating
Black People Meet Singles Date,DATING,3.9,10212,5.0,1000000,Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,0.5053452310676337,Dating
BBW Dating & Plus Size Chat,DATING,4.4,12633,29.0,1000000,Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.49101675539175543,Dating
"2Date Dating App, Love and matching",DATING,4.4,41605,8.1,500000,Free,0,Mature 17+,Dating,"July 26, 2018",4.813,4.0.3 and up,0.5583907406662825,Dating
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27.0,10000,Free,0,Mature 17+,Dating,"July 23, 2018",5.2.9,4.1 and up,0.45742092352092356,Dating
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2433,13.0,500000,Free,0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up,0.5106957328385899,Dating
Free Live Talk-Video Call,DATING,4.7,158,4.5,10000,Free,0,Mature 17+,Dating,"July 5, 2018",8.2,4.0.3 and up,0.1,Dating
Free Dating Hook Up Messenger,DATING,3.3,1157,21.0,100000,Free,0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up,0.5223361741189635,Dating
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97699,7.9,1000000,Free,0,Mature 17+,Dating,"July 10, 2018",1.230,4.0.3 and up,0.44732448577787565,Dating
Babbel – Learn Languages,EDUCATION,4.3,266948,21.0,10000000,Free,0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.4983976758195508,EDUCATION
Flippy Campus - Buy & sell on campus at a discount,EDUCATION,4.0,889,7.4,500000,Free,0,Everyone,Education,"March 9, 2018",2.2.4,4.2 and up,0.49248472116119174,EDUCATION
ABC Preschool Free,EDUCATION,3.8,27572,25.0,5000000,Free,0,Everyone,Education;Education,"October 25, 2017",3.0,2.3 and up,0.4229706790123457,EDUCATION
English with Lingualeo,EDUCATION,4.7,254519,27.0,5000000,Free,0,Everyone,Education,"July 20, 2018",2.8.1,4.1 and up,0.3522718253968254,EDUCATION
C++ Tutorials,EDUCATION,4.1,358,1.9,50000,Free,0,Everyone,Education,"August 21, 2014",1.1,2.3 and up,0.5667438271604939,EDUCATION
C++ Programming,EDUCATION,4.3,11904,1.8,1000000,Free,0,Everyone,Education,"August 22, 2015",2.0,2.3 and up,0.5534449571775961,EDUCATION
C Programming,EDUCATION,4.3,22251,1.8,1000000,Free,0,Everyone,Education,"June 28, 2015",3.0,2.3 and up,0.541011544011544,EDUCATION
GMAT Question Bank,EDUCATION,4.2,240,29.0,10000,Free,0,Everyone,Education,"April 29, 2015",1.2.0,2.3.3 and up,0.4698832866479925,EDUCATION
GRE Tutor,EDUCATION,4.0,275,2.3,50000,Free,0,Everyone,Education,"December 2, 2013",2.9,2.1 and up,0.5681086043586043,EDUCATION
Babbel – Learn Languages,EDUCATION,4.3,266935,21.0,10000000,Free,0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.4983976758195508,EDUCATION
Babbel – Learn Spanish,EDUCATION,4.4,54798,11.0,1000000,Free,0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.5447092028342028,EDUCATION
HomeWork,EDUCATION,4.3,16195,5.2,1000000,Free,0,Everyone,Education,"September 20, 2016",8.5.2,4.0 and up,0.3,EDUCATION
Common Core,EDUCATION,4.0,835,15.0,100000,Free,0,Everyone,Education,"December 20, 2016",2.3.1,2.3 and up,0.4599950718923933,EDUCATION
Homework Planner,EDUCATION,4.0,2525,1.2,100000,Free,0,Everyone,Education,"January 11, 2015",15.9.4,4.0 and up,0.5334585326549611,EDUCATION
Edmodo,EDUCATION,4.1,200058,18.0,10000000,Free,0,Everyone,Education,"July 20, 2018",9.12.5,4.0.3 and up,0.44355813234384667,EDUCATION
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84309,41.0,5000000,Free,0,Everyone,Education,"July 25, 2018",2.6.6,4.1 and up,0.6530555555555556,EDUCATION
Babbel – Learn Languages,EDUCATION,4.3,266948,21.0,10000000,Free,0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.4983976758195508,EDUCATION
EasyBib: Citation Generator,EDUCATION,3.5,1405,7.3,100000,Free,0,Everyone,Education,"March 29, 2018",2.4.4,4.0 and up,0.3912238930659983,EDUCATION
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84311,41.0,5000000,Free,0,Everyone,Education,"July 25, 2018",2.6.6,4.1 and up,0.6530555555555556,EDUCATION
H TV,ENTERTAINMENT,4.3,103078,5.6,5000000,Free,0,Everyone,Entertainment,"July 5, 2018",4.6.2,2.3.3 and up,0.4085042735042735,ENTERTAINMENT
Amazon Prime Video,ENTERTAINMENT,4.2,411683,24.0,50000000,Free,0,Teen,Entertainment,"August 2, 2018",3.0.231.18141,4.1 and up,0.5555555555555556,ENTERTAINMENT
Cinemark Theatres,ENTERTAINMENT,4.1,21867,39.0,1000000,Free,0,Teen,Entertainment,"July 12, 2018",2.19.0,5.0 and up,0.403097702991453,ENTERTAINMENT
Harkins Theatres,ENTERTAINMENT,4.3,1511,12.0,100000,Free,0,Everyone,Entertainment,"June 11, 2018",2.1.1,4.1 and up,0.490007597621234,ENTERTAINMENT
AMC Theatres,ENTERTAINMENT,4.3,44550,72.0,1000000,Free,0,Everyone,Entertainment,"July 18, 2018",6.18.3,5.0 and up,0.5781944444444445,ENTERTAINMENT
Cooking Channel,ENTERTAINMENT,4.1,1033,16.0,100000,Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device,0.533577256077256,ENTERTAINMENT
Animal Planet GO,ENTERTAINMENT,4.2,2442,9.6,100000,Free,0,Teen,Entertainment,"July 24, 2018",2.9.4,4.1 and up,0.45373677248677247,ENTERTAINMENT
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3.0,493,23.0,50000,Free,0,Everyone,Entertainment,"June 15, 2018",2.0.0,4.4 and up,0.5070377689942908,ENTERTAINMENT
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20.0,1000000,Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.5211220068298389,ENTERTAINMENT
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4.0,29706,19.0,1000000,Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.49546326754385966,ENTERTAINMENT
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19.0,1000000,Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,0.40812905844155845,ENTERTAINMENT
Comedy Central,ENTERTAINMENT,3.9,22378,19.0,1000000,Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,0.34690642241745184,ENTERTAINMENT
CW Seed,ENTERTAINMENT,4.5,16372,13.0,500000,Free,0,Teen,Entertainment,"July 18, 2018",1.16,4.4 and up,0.5177009847148736,ENTERTAINMENT
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20.0,1000000,Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.5211220068298389,ENTERTAINMENT
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4.0,29706,19.0,1000000,Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.49546326754385966,ENTERTAINMENT
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19.0,1000000,Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,0.40812905844155845,ENTERTAINMENT
HBO GO: Stream with TV Package,ENTERTAINMENT,3.8,87723,32.0,10000000,Free,0,Teen,Entertainment,"July 19, 2018",16.0.0.437,4.1 and up,0.5216060351511479,ENTERTAINMENT
FOX,ENTERTAINMENT,3.7,197774,44.0,10000000,Free,0,Mature 17+,Entertainment,"June 25, 2018",6.6.1,4.4 and up,0.4584032017365351,ENTERTAINMENT
